1805.00460v1 , VisDial , Visual dialog , arxiv_paper_20000
1904.00542v1 , baly2018predicting , Predicting factuality of reporting and bias of news media sources , arxiv_paper_54930
1604.07102v1 , mahendran2014understanding , Understanding deep image representations by inverting them , arxiv_paper_54943
1604.07102v1 , Goodfellow , Explaining and harnessing adversarial examples , arxiv_paper_54946
1604.07102v1 , kulkarni2015deep , Deep convolutional inverse graphics network , arxiv_paper_54947
1604.07102v1 , gatys2015neural , A neural algorithm of artistic style , arxiv_paper_54948
1903.10153v3 , baseline , A simple yet effective baseline for 3d human pose estimation , arxiv_paper_54949
1903.10153v3 , stackedhg , Stacked hourglass networks for human pose estimation , arxiv_paper_54951
1903.10153v3 , wild , 3d human pose estimation in the wild by adversarial learning , arxiv_paper_54952
1903.10153v3 , compositional , Compositional human pose regression , arxiv_paper_54953
1903.10153v3 , ordinal , Ordinal depth supervision for 3d human pose estimation , arxiv_paper_54954
1903.10153v3 , pavlakos2018learning , Learning to estimate 3D human pose and shape from a single color image , arxiv_paper_54958
1811.10551v2 , DBLP:conf/aaai/SunFS16 , Return of frustratingly easy domain adaptation , arxiv_paper_54966
1812.04227v1 , Maze , Control of memory, active perception, and action in minecraft , arxiv_paper_54968
1909.02945v1 , leverrier2015quantum , Quantum expander codes , arxiv_paper_54969
1909.01616v1 , Bai_2017_CVPR , Deep watershed transform for instance segmentation , arxiv_paper_54984
1907.06142v1 , murphy1999loopy , Loopy belief propagation for approximate inference: An empirical study , arxiv_paper_54988
1907.06142v1 , NIPS2017_7181 , Attention is all you need , arxiv_paper_54991
1809.07499v1 , zhao2017pspnet , Pyramid scene parsing network , arxiv_paper_54995
1403.3460v1 , anandkumar2012 , Tensor decompositions for learning latent variable models , arxiv_paper_55020
1709.10256v1 , rao2 , Plan explicability and predictability for robot task planning , arxiv_paper_55023
1808.00300v1 , harnad1990symbol , The symbol grounding problem , arxiv_paper_55026
1808.00300v1 , jaderberg2015spatial , Spatial transformer networks , arxiv_paper_55027
1808.00300v1 , mallya2017packnet , Packnet: Adding multiple tasks to a single network by iterative pruning , arxiv_paper_55028
1802.08021v3 , aji2017sparse , Sparse communication for distributed gradient descent , arxiv_paper_55039
1802.08021v3 , he2016deep , Deep residual learning for image recognition , arxiv_paper_55042
1802.08021v3 , xing2015petuum , Petuum: A new platform for distributed machine learning on big data , arxiv_paper_55044
1607.07395v3 , sparse , Low rank approximation and regression in input sparsity time , arxiv_paper_55057
1902.09928v2 , russakovsky2015 , Imagenet large scale visual recognition challenge , arxiv_paper_55060
1902.09928v2 , tran2015learning , Learning spatiotemporal features with 3d convolutional networks , arxiv_paper_55061
1902.09928v2 , tran2017convnet , Convnet architecture search for spatiotemporal feature learning , arxiv_paper_55062
1902.09928v2 , carreira2017quo , Quo vadis, action recognition? a new model and the kinetics dataset , arxiv_paper_55063
1902.09928v2 , yue2015beyond , Beyond short snippets: Deep networks for video classification , arxiv_paper_55065
1902.09928v2 , zhou2017temporal , Temporal relational reasoning in videos , arxiv_paper_55068
1902.09928v2 , wu2017compressed , Compressed video action recognition , arxiv_paper_55072
1904.05065v1 , noroozi2017motion , Motion deblurring in the wild , arxiv_paper_55075
1904.05065v1 , hyun2017online , Online video deblurring via dynamic temporal blending network , arxiv_paper_55076
1810.00361v1 , unreal , Reinforcement learning with unsupervised auxiliary tasks , arxiv_paper_55079
1904.12691v7 , vezhnevets2017feudal , Feudal networks for hierarchical reinforcement learning , arxiv_paper_55087
1904.12691v7 , florensa2017stochastic , Stochastic neural networks for hierarchical reinforcement learning , arxiv_paper_55088
1907.06160v2 , russakovsky2015imagenet , Imagenet large scale visual recognition challenge , arxiv_paper_55090
1909.11625v1 , Ondruska2016DeepTS , Deep tracking: Seeing beyond seeing using recurrent neural networks , arxiv_paper_55101
1909.11625v1 , martinez2017human , On human motion prediction using recurrent neural networks , arxiv_paper_55103
1803.10219v1 , Aytar2016SoundNet , Soundnet: Learning sound representations from unlabeled video , arxiv_paper_55107
1607.03250v1 , pred_param , Predicting parameters in deep learning , arxiv_paper_55109
1904.01126v1 , Raff2017 , Malware Detection by Eating a Whole EXE , arxiv_paper_55121
1911.01082v1 , long2015fcn , Fully convolutional networks for semantic segmentation , arxiv_paper_55130
1810.09619v2 , Galloway2018 , Attacking binarized neural networks , arxiv_paper_55135
1810.09619v2 , Dhillon2018 , Stochastic activation pruning for robust adversarial defense , arxiv_paper_55137
1308.4077v2 , Stuart , Parameter estimation for multiscale diffusions , arxiv_paper_55150
1308.4077v2 , nowak2012 , Learning the interference graph of a wireless network , arxiv_paper_55155
1308.4077v2 , bento2010learning , Learning networks of stochastic differential equations , arxiv_paper_55157
1308.4077v2 , Bolstad , Causal network inference via group sparse regularization , arxiv_paper_55159
1703.01610v4 , kveton2015combinatorial , Combinatorial cascading bandits , arxiv_paper_55163
1912.03500v1 , engilberge2019sodeep , Sodeep: a sorting deep net to learn ranking loss surrogates , arxiv_paper_55177
1910.05422v1 , Denil2013 , Predicting parameters in deep learning , arxiv_paper_55194
1705.09369v3 , Nicolaou15ICDAR , Sparse radial sampling LBP for writer identification , arxiv_paper_55197
1802.03335v3 , Moreno:2016 , Automatic variational ABC , arxiv_paper_55207
1802.03335v3 , Rezende:2015 , Variational inference with normalizing flows , arxiv_paper_55208
1802.03335v3 , Picchini:2014 , Inference for SDE models via approximate Bayesian computation , arxiv_paper_55209
1806.04262v1 , bahdanau2014neural , Neural machine translation by jointly learning to align and translate , arxiv_paper_55212
1907.12896v1 , 2016WhenToWarp , Understanding data augmentation for classification: when to warp? , arxiv_paper_55215
1810.12406v1 , GraveJCGJ17 , Efficient softmax approximation for gpus , arxiv_paper_55222
1806.02032v2 , DBLP:journals/corr/WangJC17 , Analyzing the robustness of nearest neighbors to adversarial examples , arxiv_paper_55242
1809.03355v1 , jaderberg2015spatial , Spatial transformer networks , arxiv_paper_55245
1809.03355v1 , zhou2016learning , Learning deep features for discriminative localization , arxiv_paper_55246
1904.00607v2 , hu2017maskrnn , Maskrnn: Instance level video object segmentation , arxiv_paper_55251
1904.00607v2 , yang2018efficient , Efficient video object segmentation via network modulation , arxiv_paper_55254
1704.07595v1 , ke2017new , A new representation of skeleton sequences for 3d action recognition , arxiv_paper_55284
1704.07595v1 , xu2017r , R-C3D: Region convolutional 3d network for temporal activity detection , arxiv_paper_55286
1709.05745v1 , sellent2016stereo , Stereo video deblurring , arxiv_paper_55325
1506.02554v2 , mcwilliams2014loco , Loco: Distributing ridge regression with random projections , arxiv_paper_55329
1907.09190v1 , liu2018generating , Generating wikipedia by summarizing long sequences , arxiv_paper_55335
1903.04202v2 , Fu2018CVPR , Deep ordinal regression network for monocular depth estimation , arxiv_paper_55342
1608.05866v2 , eyal2016bitcoin , Bitcoin-NG: A Scalable Blockchain Protocol , arxiv_paper_55351
1906.06298v2 , hinton2015distilling , Distilling the knowledge in a neural network , arxiv_paper_55353
1906.06298v2 , peng2018backpropagating , Backpropagating through Structured Argmax using a SPIGOT , arxiv_paper_55357
1910.01327v2 , canonne2018structure , The structure of optimal private tests for simple hypotheses , arxiv_paper_55358
1911.07478v1 , real2018evolution , Regularized evolution for image classifier architecture search , arxiv_paper_55362
1911.07478v1 , liu2018darts , DARTS: Differentiable architecture search , arxiv_paper_55363
1911.07478v1 , tan2019efficientnet , Efficientnet: Rethinking model scaling for convolutional neural networks , arxiv_paper_55364
1801.08841v1 , Li2017 , Deep Reinforcement Learning: An Overview , arxiv_paper_55370
1811.03906v2 , MP08 , The ultrametric constraint and its application to phylogenetics , arxiv_paper_55376
1904.08720v1 , tripletproxy , No fuss distance metric learning using proxies , arxiv_paper_55381
1604.06573v2 , C3DICCV2015 , Learning spatiotemporal features with 3D convolutional networks , arxiv_paper_55385
1604.06573v2 , ng2015beyond , Beyond short snippets: Deep networks for video classification , arxiv_paper_55386
1907.05740v1 , dauphin2017language , Language modeling with gated convolutional networks , arxiv_paper_55396
1901.07689v1 , you2016scalable , Scalable sparse subspace clustering by orthogonal matching pursuit , arxiv_paper_55402
1903.12650v1 , Goyal2017 , Accurate, Large Minibatch SGD: Training ImageNet in 1 Hour , arxiv_paper_55415
1903.12650v1 , You2017 , Large Batch Training Of Convolutional Networks , arxiv_paper_55416
1903.12650v1 , Ying2018 , Image Classification at Supercomputer Scale , arxiv_paper_55417
1906.05930v2 , gupta2017unifying , Unifying map and landmark based representations for visual navigation , arxiv_paper_55419
1906.05930v2 , streetlearn , Learning to navigate in cities without a map , arxiv_paper_55421
1906.05930v2 , gupta2016cross , Cross modal distillation for supervision transfer , arxiv_paper_55424
1906.05930v2 , luo2018graph , Graph distillation for action detection with privileged modalities , arxiv_paper_55426
1803.00682v2 , IMH , Inductive hashing on manifolds , arxiv_paper_55432
1806.10317v1 , krueger2017bayesian , Bayesian hypernetworks , arxiv_paper_55433
1806.10317v1 , szegedy2013intriguing , Intriguing properties of neural networks , arxiv_paper_55435
1904.10037v1 , wei2016dense , Dense human body correspondences using convolutional networks , arxiv_paper_55437
1904.10037v1 , genova2018unsupervised , Unsupervised training for 3d morphable model regression , arxiv_paper_55438
1904.10037v1 , varol2017learning , Learning from synthetic humans , arxiv_paper_55440
1904.10037v1 , li2018point , Point cloud gan , arxiv_paper_55441
1909.09432v1 , zoph2016neural , Neural architecture search with reinforcement learning , arxiv_paper_55443
1909.09432v1 , baker2016designing , Designing neural network architectures using reinforcement learning , arxiv_paper_55444
1909.09432v1 , baker2017accelerating , Accelerating neural architecture search using performance prediction , arxiv_paper_55446
1909.09432v1 , pham2018efficient , Efficient neural architecture search via parameter sharing , arxiv_paper_55447
1909.09432v1 , snoek2015scalable , Scalable bayesian optimization using deep neural networks , arxiv_paper_55448
1909.09432v1 , real2018regularized , Regularized evolution for image classifier architecture search , arxiv_paper_55451
1909.09432v1 , liu2017hierarchical , Hierarchical representations for efficient architecture search , arxiv_paper_55452
1703.08388v2 , nanyang2016 , Neural aggregation network for video face recognition , arxiv_paper_55486
1901.07860v1 , bellemare2017distributional , A distributional perspective on reinforcement learning , arxiv_paper_55489
1305.6659v2 , Kulis12_ICML , Revisiting k-means: New algorithms via bayesian nonparametrics , arxiv_paper_55518
1305.6659v2 , Carvalho10_SS , Particle learning and smoothing , arxiv_paper_55521
1707.03985v1 , Gupta16 , Synthetic data for text localisation in natural images , arxiv_paper_55523
1802.10250v3 , xu2017r , R-c3d: Region convolutional 3d network for temporal activity detection , arxiv_paper_55526
1802.10250v3 , yao2015describing , Describing videos by exploiting temporal structure , arxiv_paper_55528
1802.10250v3 , yu2016video , Video paragraph captioning using hierarchical recurrent neural networks , arxiv_paper_55529
1812.08989v2 , gaosurvey , Neural approaches to conversational ai , arxiv_paper_55537
1812.08989v2 , ram2018conversational , Conversational ai: The science behind the alexa prize , arxiv_paper_55538
1612.07899v2 , BarronTPAMI2015 , Shape, illumination, and reflectance from shading , arxiv_paper_55542
1612.07899v2 , resnet , Deep residual learning for image recognition , arxiv_paper_55549
1902.04604v1 , luc2016semantic , Semantic segmentation using adversarial networks , arxiv_paper_55554
1906.10771v1 , hinton2015distilling , Distilling the knowledge in a neural network , arxiv_paper_55580
1906.10771v1 , ICLR2019 , Rethinking the value of network pruning , arxiv_paper_55581
1906.10771v1 , li2016pruning , Pruning filters for efficient convnets , arxiv_paper_55582
1908.06965v2 , zhou2016learning , Learning deep features for discriminative localization , arxiv_paper_55597
1801.04380v1 , chen2016training , Training deep nets with sublinear memory cost , arxiv_paper_55602
1710.00486v2 , Carlini017 , Towards evaluating the robustness of neural networks , arxiv_paper_55608
1710.00486v2 , Moosavi-Dezfooli16 , Deepfool: A simple and accurate method to fool deep neural networks , arxiv_paper_55609
1710.00486v2 , HuangKWW17 , Safety verification of deep neural networks , arxiv_paper_55610
1803.09522v2 , daniely2017sgd , Sgd learns the conjugate kernel class of the network , arxiv_paper_55615
1803.09522v2 , du2017convolutional , When is a convolutional filter easy to learn? , arxiv_paper_55617
1803.09522v2 , brutzkus2017globally , Globally optimal gradient descent for a convnet with gaussian inputs , arxiv_paper_55618
1803.09522v2 , zhang2016convexified , Convexified convolutional neural networks , arxiv_paper_55619
1803.09522v2 , arora2014provable , Provable bounds for learning some deep representations , arxiv_paper_55620
1803.09522v2 , mossel2016deep , Deep learning and hierarchal generative models , arxiv_paper_55621
1905.12256v2 , bruna2013spectral , Spectral networks and locally connected networks on graphs , arxiv_paper_55622
1901.06013v1 , cordts2016cityscapes , The cityscapes dataset for semantic urban scene understanding , arxiv_paper_55638
1902.04972v3 , rrpcp_icml , Nearly optimal robust subspace tracking , arxiv_paper_55641
1708.08267v2 , laina2016deeper , Deeper depth prediction with fully convolutional residual networks , arxiv_paper_55645
1510.01257v1 , erhan2014scalable , Scalable object detection using deep neural networks , arxiv_paper_55665
1904.11272v2 , Liu_2016_IJCAI , Makeup like a superstar: Deep localized makeup transfer network , arxiv_paper_55676
1612.00584v2 , DBLP:journals/corr/abs-1301-3781 , Efficient estimation of word representations in vector space , arxiv_paper_55691
1808.06753v1 , pavlakos20176 , 6-dof object pose from semantic keypoints , arxiv_paper_55699
1811.03508v2 , xu2018powerful , How powerful are graph neural networks? , arxiv_paper_55703
1809.01494v1 , Mostafazadeh2016GeneratingNQ , Generating natural questions about an image , arxiv_paper_55704
1904.05729v1 , mirza2014conditional , Conditional generative adversarial nets , arxiv_paper_55708
1904.05729v1 , reed2016learning , Learning what and where to draw , arxiv_paper_55709
1904.05729v1 , sharma2018chatpainter , Chatpainter: Improving text to image generation using dialogue , arxiv_paper_55711
1904.05729v1 , dong2017semantic , Semantic image synthesis via adversarial learning , arxiv_paper_55712
1904.05729v1 , dong2017i2t2i , I2t2i: Learning text to image synthesis with textual data augmentation , arxiv_paper_55713
1709.02448v1 , le2014distributed , Distributed representations of sentences and documents , arxiv_paper_55721
1904.02225v1 , Lu2016 , Visual relationship detection with language priors , arxiv_paper_55724
1904.02225v1 , Xu2017 , Scene graph generation by iterative message passing , arxiv_paper_55726
1911.13287v1 , choy2016universal , Universal correspondence network , arxiv_paper_55734
1909.01754v2 , goncalves2016benchmark , Benchmark for license plate character segmentation , arxiv_paper_55745
1611.06492v2 , bahdanau2014neural , Neural machine translation by jointly learning to align and translate , arxiv_paper_55753
1710.00978v1 , DBLP:journals/corr/abs-1101-3291 , Node classification in social networks , arxiv_paper_55754
1710.00978v1 , Perozzi:2014:DOL:2623330.2623732 , Deepwalk: Online learning of social representations , arxiv_paper_55755
1901.08210v2 , KNPS12 , Wigner chaos and the fourth moment , arxiv_paper_55771
1712.09687v1 , rocktaschel2016reasoning , Reasoning about entailment with neural attention , arxiv_paper_55777
1901.10177v1 , uc1 , Unsupervised deep embedding for clustering analysis , arxiv_paper_55803
1901.10177v1 , uc3 , Joint unsupervised learning of deep representations and image clusters , arxiv_paper_55804
1903.06874v1 , dextr , Deep extreme cut: From extreme points to object segmentation , arxiv_paper_55808
1903.06874v1 , pixel2mesh , Pixel2mesh: Generating 3d mesh models from single RGB images , arxiv_paper_55812
1709.07634v2 , zeiler2014visualizing , Visualizing and understanding convolutional networks , arxiv_paper_55827
1709.07634v2 , lin2013network , Network in network , arxiv_paper_55828
1709.07634v2 , szegedy2015going , Going deeper with convolutions , arxiv_paper_55830
1709.07634v2 , szegedy2016rethinking , Rethinking the inception architecture for computer vision , arxiv_paper_55832
1709.07634v2 , srivastava2015training , Training very deep networks , arxiv_paper_55834
1709.07634v2 , he2016deep , Deep residual learning for image recognition , arxiv_paper_55835
1709.07634v2 , he2016identity , Identity mappings in deep residual networks , arxiv_paper_55836
1709.07634v2 , zagoruyko2016wide , Wide residual networks , arxiv_paper_55837
1709.07634v2 , xie2017aggregated , Aggregated residual transformations for deep neural networks , arxiv_paper_55838
1709.07634v2 , huang2016deep , Deep networks with stochastic depth , arxiv_paper_55839
1902.02086v1 , larsen2015autoencoding , Autoencoding beyond pixels using a learned similarity metric , arxiv_paper_55847
1807.00898v1 , Sun2017 , Compositional human pose regression , arxiv_paper_55866
1708.06118v1 , zhao2016pyramid , Pyramid Scene Parsing Network , arxiv_paper_55867
1912.08883v1 , bib:CVPR18:Faraone , SYQ: learning symmetric quantization for efficient deep neural networks , arxiv_paper_55882
1912.08883v1 , bib:arXiv14:Gong , Compressing deep convolutional networks using vector quantization , arxiv_paper_55885
1912.08883v1 , bib:CVPR17:Guo , Network sketching: exploiting binary structure in deep cnns , arxiv_paper_55886
1912.08883v1 , bib:NIPS17:Lin , Towards accurate binary convolutional neural network , arxiv_paper_55887
1701.03281v1 , HeZhangRenEtAl2015 , Deep residual learning for image recognition , arxiv_paper_55890
1512.01413v2 , fish2014imaging , Imaging an event horizon: Mitigation of scattering toward sagittarius a* , arxiv_paper_55895
1907.05600v2 , neal2012mcmc , Mcmc using hamiltonian dynamics , arxiv_paper_55898
1611.06661v3 , xu2016gland , Gland instance segmentation by deep multichannel side supervision , arxiv_paper_55899
1802.07862v1 , reiattending2016 , Attending to characters in neural sequence labeling models , arxiv_paper_55911
1804.02135v3 , voiceloop , VoiceLoop: Voice Fitting and Synthesis via a Phonological Loop , arxiv_paper_55928
1804.02135v3 , Samuel2016 , Generating Sentences from a Continuous Space , arxiv_paper_55929
1712.09374v3 , sigurdsson2016much , Much ado about time: Exhaustive annotation of temporal data , arxiv_paper_55933
1808.03735v3 , resnet , Deep residual learning for image recognition , arxiv_paper_55938
1608.03344v1 , dani2006empirical , An empirical comparison of algorithms for aggregating expert predictions , arxiv_paper_55941
1812.08861v3 , vondrick2016generating , Generating videos with scene dynamics , arxiv_paper_55951
1812.08861v3 , saito2017temporal , Temporal generative adversarial nets with singular value clipping , arxiv_paper_55952
1812.08861v3 , chan2018everybody , Everybody dance now , arxiv_paper_55953
1704.00524v1 , zha2017 , Image denoising via group sparsity residual constraint , arxiv_paper_55960
1704.00524v1 , dong2015compression , Compression artifacts reduction by a deep convolutional network , arxiv_paper_55968
1805.09978v1 , hutter2016optimal , Optimal rates for total variation denoising , arxiv_paper_55996
1805.09978v1 , chan2014consistent , A consistent histogram estimator for exchangeable graph models , arxiv_paper_55997
1805.09978v1 , chatterjee2015matrix , Matrix estimation by universal singular value thresholding , arxiv_paper_55999
1805.09978v1 , zhang2015estimating , Estimating network edge probabilities by neighborhood smoothing , arxiv_paper_56000
1903.04128v1 , sutanto2018learning , Learning latent space dynamics for tactile servoing , arxiv_paper_56012
1906.09551v1 , blier2018description , The description length of deep learning models , arxiv_paper_56021
1906.09551v1 , guo2017calibration , On calibration of modern neural networks , arxiv_paper_56022
1703.06029v3 , vinyals2015show , Show and tell: A neural image caption generator , arxiv_paper_56025
1703.06029v3 , devlin2015language , Language models for image captioning: The quirks and what works , arxiv_paper_56028
1703.06029v3 , anderson2016spice , Spice: Semantic propositional image caption evaluation , arxiv_paper_56033
1703.06029v3 , reed2016generative , Generative adversarial text to image synthesis , arxiv_paper_56034
1703.06029v3 , yu2016seqgan , Seqgan: sequence generative adversarial nets with policy gradient , arxiv_paper_56035
1703.10818v1 , Jaderberg2015 , Spatial transformer networks , arxiv_paper_56036
1811.03739v1 , ott2011finding , Finding deceptive opinion spam by any stretch of the imagination , arxiv_paper_56042
1811.03739v1 , sandulescu2015detecting , Detecting singleton review spammers using semantic similarity , arxiv_paper_56044
1812.07179v6 , wang2018anytime , Anytime stereo image depth estimation on mobile devices , arxiv_paper_56047
1803.08494v3 , Rebuffi2017 , Learning multiple visual domains with residual adapters , arxiv_paper_56049
1803.08494v3 , He2016 , Deep residual learning for image recognition , arxiv_paper_56054
1807.07506v2 , calib , On calibration of modern neural networks , arxiv_paper_56055
1707.04662v1 , andrews2016compressing , Compressing word embeddings , arxiv_paper_56059
1801.08094v4 , chung2015gated , Gated feedback recurrent neural networks , arxiv_paper_56067
1801.08094v4 , NIPS2017_7181 , Attention is all you need , arxiv_paper_56070
1801.08094v4 , ijcai2017-280 , Deepstory: Video story qa by deep embedded memory networks , arxiv_paper_56072
1801.08094v4 , ijcai2018-633 , Chinese poetry generation with a working memory model , arxiv_paper_56073
1911.07347v1 , oberweger2015training , Training a feedback loop for hand pose estimation , arxiv_paper_56076
1910.14442v1 , urakami2019doorgym , Doorgym: A scalable door opening environment and baseline agent , arxiv_paper_56097
1305.3011v1 , JFeldman:OnlineStochasticPacking , Online stochastic packing applied to display ad allocation , arxiv_paper_56105
1305.3011v1 , MBabaioff:DynamicPricing , Dynamic pricing with limited supply , arxiv_paper_56107
1609.01371v2 , articulatedMotionRecov_pillai2015 , Learning articulated motions from visual demonstration , arxiv_paper_56115
1909.06500v1 , dai2018adversarial , Adversarial attack on graph structured data , arxiv_paper_56120
1903.03105v1 , Sutskever:2014:SSL:2969033.2969173 , Sequence to sequence learning with neural networks , arxiv_paper_56123
1801.06519v2 , rusu2016progressive , Progressive neural networks , arxiv_paper_56126
1801.06519v2 , rebuffi2017learning , Learning multiple visual domains with residual adapters , arxiv_paper_56127
1801.06519v2 , rosenfeld2017incremental , Incremental learning through deep adaptation , arxiv_paper_56128
1911.06849v1 , Khodabandeh-ICCV-2019 , A Robust Learning Approach to Domain Adaptive Object Detection , arxiv_paper_56130
1705.01450v3 , jaderberg2015spatial , Spatial transformer networks , arxiv_paper_56133
1705.01450v3 , zhou2017oriented , Oriented response networks , arxiv_paper_56134
1705.01450v3 , dai2017deformable , Deformable convolutional networks , arxiv_paper_56135
1704.03976v2 , gu2014towards , Towards deep neural network architectures robust to adversarial examples , arxiv_paper_56154
1704.03976v2 , szegedy2013intriguing , Intriguing properties of neural networks , arxiv_paper_56156
1704.03976v2 , goodfellow2014explaining , Explaining and harnessing adversarial examples , arxiv_paper_56157
1704.03976v2 , maaloe2016auxiliary , Auxiliary deep generative models , arxiv_paper_56162
1712.07576v2 , densecap , Densecap: Fully convolutional localization networks for dense captioning , arxiv_paper_56163
1812.00880v2 , murphy1999loopy , Loopy belief propagation for approximate inference: An empirical study , arxiv_paper_56170
1812.00880v2 , blei2017variational , Variational inference: A review for statisticians , arxiv_paper_56172
1812.00880v2 , hoffman2013stochastic , Stochastic variational inference , arxiv_paper_56177
1805.08973v2 , cohen1998learning , Learning to order things , arxiv_paper_56180
1805.08973v2 , martinez2017simple , A simple yet effective baseline for 3d human pose estimation , arxiv_paper_56183
1805.10253v1 , lin2016feature , Feature pyramid networks for object detection , arxiv_paper_56196
1805.10253v1 , pinheiro2015learning , Learning to segment object candidates , arxiv_paper_56197
1611.05009v4 , Wu2015CVPR , 3d shapenets: A deep representation for volumetric shapes , arxiv_paper_56204
1611.05009v4 , Li2016ARXIV , FPNN: field probing neural networks for 3d data , arxiv_paper_56209
1909.02533v2 , drover20183dpose , Can 3D pose be learned from 2D projections alone? , arxiv_paper_56212
1906.04214v3 , zugner2019adversarial , Adversarial attacks on graph neural networks via meta learning , arxiv_paper_56214
1606.01549v3 , seo2016bidirectional , Bidirectional attention flow for machine comprehension , arxiv_paper_56219
1806.01427v2 , zhu2018tbd , Tbd: Benchmarking and analyzing deep neural network training , arxiv_paper_56223
1809.05298v1 , ba2016layer , Layer normalization , arxiv_paper_56234
1902.11102v1 , badanidiyuru2013bandits , Bandits with knapsacks , arxiv_paper_56238
1902.11102v1 , combes2014optimal , Optimal rate sampling in 802.11 systems , arxiv_paper_56241
1906.04452v1 , rusu2016progressive , Progressive neural networks , arxiv_paper_56246
1803.00788v1 , Seff2016 , Learning from maps: Visual common sense for autonomous driving , arxiv_paper_56247
1906.00764v1 , vinyals2016order , Order matters: Sequence to sequence for sets , arxiv_paper_56248
1906.00764v1 , edwards2017towards , Towards a Neural Statistician , arxiv_paper_56250
1904.09925v4 , kornblith2019better , Do better imagenet models transfer better? , arxiv_paper_56251
1904.09925v4 , vaswani2017attention , Attention is all you need , arxiv_paper_56252
1903.06323v2 , Lahner_2018_ECCV , Deepwrinkles: Accurate and realistic clothing modeling , arxiv_paper_56263
1902.04195v4 , becker2017network , Network Design for Controllability Metrics , arxiv_paper_56267
1907.01068v1 , vilnis2018probabilistic , Probabilistic embedding of knowledge graphs with box lattice measures , arxiv_paper_56288
1906.00872v1 , bahdanau2014neural , Neural machine translation by jointly learning to align and translate , arxiv_paper_56300
1709.06436v1 , srivastava2015highway , Highway networks , arxiv_paper_56307
1709.06436v1 , zilly2016recurrent , Recurrent highway networks , arxiv_paper_56308
1806.06928v1 , Lee2017 , Overcoming catastrophic forgetting by incremental moment matching , arxiv_paper_56309
1901.07165v1 , CGAN , Conditional Generative Adversarial Nets , arxiv_paper_56315
1602.05897v2 , mairal2014convolutional , Convolutional kernel networks , arxiv_paper_56327
1602.05897v2 , anselmi2015deep , Deep convolutional networks are hierarchical kernel machines , arxiv_paper_56328
1903.12296v3 , mirza2014conditional , Conditional generative adversarial nets , arxiv_paper_56331
1903.12296v3 , liu2016coupled , Coupled generative adversarial networks , arxiv_paper_56334
1903.12296v3 , liang2017generative , Generative semantic manipulation with contrasting gan , arxiv_paper_56339
1903.02044v2 , ichter_harrison_pavone_2017 , Learning sampling distributions for robot motion planning , arxiv_paper_56348
1910.12032v1 , pavlakos2018ordinal , Ordinal depth supervision for 3d human pose estimation , arxiv_paper_56360
1910.12032v1 , sun2017integral , Integral human pose regression , arxiv_paper_56362
1910.12032v1 , tekin2017learning , Learning to fuse 2d and 3d image cues for monocular body pose estimation , arxiv_paper_56366
1910.12032v1 , martinez2017simple , A simple yet effective baseline for 3d human pose estimation , arxiv_paper_56367
1910.12032v1 , sarandi2018robust , How robust is 3d human pose estimation to occlusion? , arxiv_paper_56369
1910.12032v1 , yang20183d , 3d human pose estimation in the wild by adversarial learning , arxiv_paper_56373
1910.12032v1 , dabral2018learning , Learning 3d human pose from structure and motion , arxiv_paper_56375
1609.05191v2 , Shah12 , Linear system identification via atomic norm regularization , arxiv_paper_56386
1706.04410v3 , johnson-ppv , Strong converses for group testing in the finite blocklength regime , arxiv_paper_56395
1904.09483v2 , krishnan2017boostclean , Boostclean: Automated error detection and repair for machine learning , arxiv_paper_56398
1904.09483v2 , qi2018impacts , Impacts of dirty data: and experimental evaluation , arxiv_paper_56402
1710.07388v1 , luan2016lstm , LSTM based conversation models , arxiv_paper_56417
1710.07388v1 , sennrich2015improving , Improving neural machine translation models with monolingual data , arxiv_paper_56419
1812.02891v1 , kurakin2016adversarial , Adversarial machine learning at scale , arxiv_paper_56423
1506.02162v3 , ZR12 , Efficiently learning from revealed preference , arxiv_paper_56449
1506.02162v3 , BDMUV15 , Learning economic parameters from revealed preferences , arxiv_paper_56450
1506.02162v3 , DS14 , Optimal learners for multiclass problems , arxiv_paper_56451
1506.02162v3 , ACDKR15 , Online learning and profit maximization from revealed preferences , arxiv_paper_56452
1506.02162v3 , RUW15 , Watch and learn: Optimizing from revealed preferences feedback , arxiv_paper_56453
1806.06613v1 , chen2016dense , Dense motion estimation for smoke , arxiv_paper_56468
1706.02613v2 , reed2014training , Training deep neural networks on noisy labels with bootstrapping , arxiv_paper_56474
1706.02613v2 , sukhbaatar2014training , Training convolutional networks with noisy labels , arxiv_paper_56477
1905.13648v2 , singh2019 , Towards vqa models that can read , arxiv_paper_56485
1803.05845v1 , Wang2017Large , Large margin object tracking with circulant feature maps , arxiv_paper_56488
1807.07930v2 , residualnets , Deep residual learning for image recognition , arxiv_paper_56493
1908.00598v3 , huang2018efficient , Efficient uncertainty estimation for semantic segmentation in videos , arxiv_paper_56507
1908.00598v3 , mozejko2018inhibited , Inhibited softmax for uncertainty estimation in neural networks , arxiv_paper_56508
1808.08583v2 , vaswani2017attention , Attention is all you need , arxiv_paper_56522
1808.08583v2 , kaiser2018fast , Fast decoding in sequence models using discrete latent variables , arxiv_paper_56524
1910.03270v1 , mathew2018analyzing , Analyzing the hate and counter speech accounts on twitter , arxiv_paper_56536
